Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Hathway Cable & Datacom Ltd.,HATHWAY,Media Entertainment & Publication,EQ,16.3,16.45,16.1,16.25,16.35,0.1,0.1,670321,10886013.04,28.7,14.35,0.1,0.1
Hatsun Agro Product Ltd.,HATSUN,Fast Moving Consumer Goods,EQ,874.7,886.25,869.75,881.15,875,-6.15,-6.15,88204,77170561.64,1525.95,837.6,-6.15,-6.15
Havells India Ltd.,HAVELLS,Consumer Durables,EQ,1099.85,1120,1092.25,1098.2,1111.65,13.45,13.45,1848135,2049858935,1504.45,978,13.45,13.45
HCL Technologies Ltd.,HCLTECH,Information Technology,EQ,964.5,981.45,964.2,973.25,979.05,5.8,5.8,2827579,2746681965,1377.75,944.05,5.8,5.8
Housing Development Finance Corporation Ltd.,HDFC,Financial Services,EQ,2155,2224.05,2133.1,2170.85,2205.3,34.45,34.45,2776869,6047243159,3021.1,2026,34.45,34.45
HDFC Asset Management Company Ltd.,HDFCAMC,Financial Services,EQ,1782,1839,1779.7,1792.35,1833.3,40.95,40.95,447884,814118746.8,3365,1690,40.95,40.95
HDFC Bank Ltd.,HDFCBANK,Financial Services,EQ,1343.95,1360,1330.05,1348,1354.95,6.95,6.95,5736226,7722508977,1725,1271.6,6.95,6.95
HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services,EQ,549.95,567.3,540.55,550,567,17,17,2052291,1143741774,775.65,497.05,17,17
H.E.G. Ltd.,HEG,Capital Goods,EQ,995.8,998.95,963.3,997.85,984.9,-12.95,-12.95,69104,67787568.8,2629,890.8,-12.95,-12.95
Hemisphere Properties India Ltd.,HEMIPROP,Realty,EQ,105.85,106,102.75,105.3,105,-0.3,-0.3,462015,48266707.05,165.9,95,-0.3,-0.3
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components,EQ,2715,2770,2683.35,2719.7,2758.8,39.1,39.1,393346,1075824911,2968.95,2146.85,39.1,39.1
HFCL Ltd.,HFCL,Telecommunication,EQ,55.15,55.7,54.25,55.15,54.95,-0.2,-0.2,2275417,124943147.5,101.35,51.55,-0.2,-0.2
Hinduja Global Solutions Ltd.,HGS,Services,EQ,1075,1080.55,1050.05,1067.1,1074.1,7,7,180181,193514394,3920,846,7,7
Hikal Ltd.,HIKAL,Healthcare,EQ,239.85,243.6,234.15,239,238.95,-0.05,-0.05,386423,92262355.48,742,212,-0.05,-0.05
Hindalco Industries Ltd.,HINDALCO,Metals & Mining,EQ,335,342.9,330.25,338.65,341.8,3.15,3.15,11278576,3788248107,636,308.95,3.15,3.15
Hindustan Copper Ltd.,HINDCOPPER,Metals & Mining,EQ,86.1,88.75,85.65,87.1,88.3,1.2,1.2,2962596,258130989.5,159.4,81.2,1.2,1.2
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Oil Gas & Consumable Fuels,EQ,218,229,216.2,217.2,227.5,10.3,10.3,8196598,1840464115,354.8,206.5,10.3,10.3
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,EQ,2226,2293,2203.6,2230.6,2291,60.4,60.4,1235612,2788393244,2859.3,1901.55,60.4,60.4
Hindustan Zinc Ltd.,HINDZINC,Metals & Mining,EQ,246,249,245.35,249.35,247.75,-1.6,-1.6,310474,76659135.34,408.6,245.1,-1.6,-1.6
HLE Glascoat Ltd.,HLEGLAS,Capital Goods,EQ,3320,3447.9,3252.4,3295.2,3410,114.8,114.8,13768,46522898.08,7550,2950,114.8,114.8
Home First Finance Company India Ltd.,HOMEFIRST,Financial Services,EQ,746.95,748,726.05,743.7,733.95,-9.75,-9.75,37017,27411828.84,921.3,525.05,-9.75,-9.75
Honeywell Automation India Ltd.,HONAUT,Capital Goods,EQ,34069.8,34069.8,33133.65,33787.7,33244.05,-543.65,-543.65,1860,62036431.2,47275.95,30185.35,-543.65,-543.65
Housing & Urban Development Corporation Ltd.,HUDCO,Financial Services,EQ,34.8,35,34.6,34.8,34.85,0.05,0.05,544695,18949939.05,56.15,30.6,0.05,0.05
Indiabulls Real Estate Ltd.,IBREALEST,Realty,EQ,61.2,62.3,60.15,60.95,61.7,0.75,0.75,4909229,299462969,195.9,60.15,0.75,0.75
Indiabulls Housing Finance Ltd.,IBULHSGFIN,Financial Services,EQ,94.5,96.4,93.1,94.75,96.2,1.45,1.45,12436219,1174725247,297.8,90.75,1.45,1.45
ICICI Bank Ltd.,ICICIBANK,Financial Services,EQ,703.45,706.75,694.1,707.2,706,-1.2,-1.2,9884899,6924865994,867,629.8,-1.2,-1.2
ICICI Lombard General Insurance Company Ltd.,ICICIGI,Financial Services,EQ,1120,1150,1105.85,1120.95,1144,23.05,23.05,228217,258033551.1,1675,1071,23.05,23.05
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Financial Services,EQ,489,502.45,484.2,489,501.75,12.75,12.75,757837,374288115.9,724.3,430,12.75,12.75
Indo Count Industries Ltd.,ICIL,Textiles,EQ,131.25,138,130.4,131.05,136.5,5.45,5.45,387980,52474295,315,119.55,5.45,5.45
IDBI Bank Ltd.,IDBI,Financial Services,EQ,30.9,31,30.6,30.8,30.85,0.05,0.05,3091913,95076324.75,65.25,30.5,0.05,0.05
Vodafone Idea Ltd.,IDEA,Telecommunication,EQ,8.35,8.6,8.2,8.4,8.5,0.1,0.1,65435996,547699286.5,16.8,4.55,0.1,0.1
IDFC Ltd.,IDFC,Financial Services,EQ,49.35,51.4,48.65,49.15,50.8,1.65,1.65,5859079,293422676.3,70.2,41.65,1.65,1.65
IDFC First Bank Ltd.,IDFCFIRSTB,Financial Services,EQ,31.35,32.45,30.6,31.45,32.4,0.95,0.95,38981951,1227541637,56.25,28.95,0.95,0.95
Indian Energy Exchange Ltd.,IEX,Financial Services,EQ,158,161.15,157,158.75,159.9,1.15,1.15,9279366,1476625512,318.67,124.45,1.15,1.15
IFB Industries Ltd.,IFBIND,Consumer Durables,EQ,903,903,885.8,899.6,894.9,-4.7,-4.7,6449,5766953.76,1365.85,800,-4.7,-4.7
Indraprastha Gas Ltd.,IGL,Oil Gas & Consumable Fuels,EQ,357.15,361.9,352.6,355.9,359.95,4.05,4.05,1103024,394121505.4,602.05,321,4.05,4.05
IIFL Finance Ltd.,IIFL,Financial Services,EQ,323.5,335,317.15,323.75,333.5,9.75,9.75,526247,172893189.4,396,242.9,9.75,9.75
IIFL Wealth Management Ltd.,IIFLWAM,Financial Services,EQ,1488.5,1550,1458.95,1481.05,1543,61.95,61.95,191551,288908711.3,1908.3,1122.35,61.95,61.95
Indian Hotels Co. Ltd.,INDHOTEL,Consumer Services,EQ,222.1,228.1,220.4,225.15,226.3,1.15,1.15,3902317,873104405.6,268.95,129.17,1.15,1.15
India Cements Ltd.,INDIACEM,Construction Materials,EQ,156.5,161.8,154.65,156.5,160.55,4.05,4.05,2206090,350724188.2,259.95,145.45,4.05,4.05
Indiamart Intermesh Ltd.,INDIAMART,Consumer Services,EQ,3822.5,3877.4,3791.05,3809.2,3818,8.8,8.8,98110,375615116.1,9710.7,3785.1,8.8,8.8
Indian Bank,INDIANB,Financial Services,EQ,148.35,150.75,146.65,149.85,149.65,-0.2,-0.2,746419,110776043.8,194.95,115.1,-0.2,-0.2
InterGlobe Aviation Ltd.,INDIGO,Services,EQ,1610.55,1667,1591.6,1606.2,1651.8,45.6,45.6,692564,1130735392,2380,1511.75,45.6,45.6
Indigo Paints Ltd.,INDIGOPNTS,Consumer Durables,EQ,1404.5,1405,1372.7,1395.65,1388,-7.65,-7.65,12205,16919913.55,2709,1353.6,-7.65,-7.65
Indoco Remedies Ltd.,INDOCO,Healthcare,EQ,368.25,372.95,365.65,367.05,370,2.95,2.95,21554,7949977.36,530.25,322.7,2.95,2.95
IndusInd Bank Ltd.,INDUSINDBK,Financial Services,EQ,793,810,783,794.35,808,13.65,13.65,2796110,2241976920,1242,763.2,13.65,13.65
Indus Towers Ltd.,INDUSTOWER,Telecommunication,EQ,210,210.9,204.5,209.1,208.35,-0.75,-0.75,2187045,453177594.5,332.8,181.2,-0.75,-0.75
Infibeam Avenues Ltd.,INFIBEAM,Information Technology,EQ,13.9,14.1,13.4,14.1,13.6,-0.5,-0.5,2029884,27667318.92,28.05,12.5,-0.5,-0.5
Infosys Ltd.,INFY,Information Technology,EQ,1454,1485,1442.35,1461.9,1481,19.1,19.1,4651635,6800411272,1953.9,1367.15,19.1,19.1
Inox Leisure Ltd.,INOXLEISUR,Media Entertainment & Publication,EQ,509.1,525,503,508.45,523.2,14.75,14.75,441730,226943204.8,563.6,291,14.75,14.75
Intellect Design Arena Ltd.,INTELLECT,Information Technology,EQ,635.6,659,623.35,633.35,658.95,25.6,25.6,329488,211271000.5,986.65,562.65,25.6,25.6
Indian Overseas Bank,IOB,Financial Services,EQ,16.45,16.8,16.1,16.45,16.6,0.15,0.15,718064,11840875.36,29,15.25,0.15,0.15
Indian Oil Corporation Ltd.,IOC,Oil Gas & Consumable Fuels,EQ,75,75.15,72.85,74.25,74.7,0.45,0.45,22029311,1629728428,94.33,67.7,0.45,0.45
Ipca Laboratories Ltd.,IPCALAB,Healthcare,EQ,890.25,914.25,890.25,897.5,912,14.5,14.5,154987,140412022.5,1383.1,831.05,14.5,14.5
IRB Infrastructure Developers Ltd.,IRB,Construction,EQ,203,205.9,198,202.25,204,1.75,1.75,636428,128240242,345.85,148.05,1.75,1.75
IRCON International Ltd.,IRCON,Construction,EQ,35.95,36.2,35.8,36.05,36.15,0.1,0.1,190000,6838100,53.4,34.8,0.1,0.1
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Consumer Services,EQ,576.2,585.8,575.7,576.2,578.3,2.1,2.1,1928361,1117909439,1279.26,404.29,2.1,2.1
Indian Railway Finance Corporation Ltd.,IRFC,Financial Services,EQ,19.7,20.05,19.6,19.65,20,0.35,0.35,2510750,49687742.5,26.4,19.3,0.35,0.35
ICICI Securities Ltd.,ISEC,Financial Services,EQ,427.1,429.6,412,428.9,413.5,-15.4,-15.4,570584,237003476.1,896.05,408.4,-15.4,-15.4
ITC Ltd.,ITC,Fast Moving Consumer Goods,EQ,273.5,285,271.2,273.5,284.75,11.25,11.25,35165665,9842517977,285,200.9,11.25,11.25
ITI Ltd.,ITI,Telecommunication,EQ,100.65,103,97.15,100.65,98.8,-1.85,-1.85,1243276,124091377.6,143.8,81,-1.85,-1.85
Jamna Auto Industries Ltd.,JAMNAAUTO,Automobile and Auto Components,EQ,122.2,129.8,122.2,122.15,125.4,3.25,3.25,6199390,784966761.8,129.8,78.6,3.25,3.25
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Healthcare,EQ,1578,1587,1558.9,1572.65,1563,-9.65,-9.65,15467,24327425.62,1985,1342.2,-9.65,-9.65
Jindal Steel & Power Ltd.,JINDALSTEL,Metals & Mining,EQ,326.2,334.6,322.05,329.25,333,3.75,3.75,4320099,1419973340,577.8,304.2,3.75,3.75
J.K. Cement Ltd.,JKCEMENT,Construction Materials,EQ,2106.2,2160.9,2100,2108.95,2149,40.05,40.05,128324,274755799.6,3838,2003.7,40.05,40.05
JK Lakshmi Cement Ltd.,JKLAKSHMI,Construction Materials,EQ,416.05,423.45,412,420.25,416.95,-3.3,-3.3,92645,38667243.65,816,366.25,-3.3,-3.3
JK Paper Ltd.,JKPAPER,Forest Materials,EQ,298,309.75,297.05,295.7,303.25,7.55,7.55,2270069,691690024.3,387.4,191.25,7.55,7.55
JM Financial Ltd.,JMFINANCIL,Financial Services,EQ,61.5,61.5,59.5,60.95,59.65,-1.3,-1.3,368055,22193716.5,117.7,57.1,-1.3,-1.3
Jindal Stainless Ltd.,JSL,Metals & Mining,EQ,100,100.6,97.35,99.8,99.8,0,0,492895,48845894.5,224.4,95.05,0,0
JSW Energy Ltd.,JSWENERGY,Power,EQ,204.3,207.75,199,207.95,205.3,-2.65,-2.65,662114,134740199,408,161.4,-2.65,-2.65
