Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Aarti Drugs Ltd.,AARTIDRUGS,Healthcare,EQ,400.5,401.8,394.1,403.85,400,-3.85,-3.85,31782,12627306.42,749.75,378,-3.85,-3.85
Aavas Financiers Ltd.,AAVAS,Financial Services,EQ,1997.1,2004.05,1894.5,2015.45,1943.15,-72.3,-72.3,150704,290772818.7,3340,1815,-72.3,-72.3
ABB India Ltd.,ABB,Capital Goods,EQ,2260.35,2311.5,2260.35,2300.9,2280,-20.9,-20.9,97053,221093527.7,2487.85,1618.05,-20.9,-20.9
Abbott India Ltd.,ABBOTINDIA,Healthcare,EQ,18700.4,19200,18605,18760.4,19199.8,439.4,439.4,12396,234676981.3,23934.45,15514,439.4,439.4
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,EQ,89,90.6,88.35,89.4,90.25,0.85,0.85,2401323,215182554,139.2,85.6,0.85,0.85
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services,EQ,235.6,243.5,235.6,237.05,242.2,5.15,5.15,1014277,243548193.2,322,189.35,5.15,5.15
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services,EQ,400.05,406.7,400,400.05,405.9,5.85,5.85,34489,13901826.12,722.9,375,5.85,5.85
ACC Ltd.,ACC,Construction Materials,EQ,2122.95,2174,2122.95,2121.95,2171.7,49.75,49.75,284645,613620612.3,2589,1900,49.75,49.75
Adani Enterprises Ltd.,ADANIENT,Metals & Mining,EQ,2189.9,2242,2138.25,2190.9,2229.25,38.35,38.35,2141743,4695578771,2420.95,1332.75,38.35,38.35
Adani Green Energy Ltd.,ADANIGREEN,Power,EQ,1928,1978.9,1902,1929.6,1963.25,33.65,33.65,1206875,2344656406,3050,874.8,33.65,33.65
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,EQ,670,680,656,672.05,678.3,6.25,6.25,3151179,2105491761,924.65,651.95,6.25,6.25
Adani Transmission Ltd.,ADANITRANS,Power,EQ,2500,2583.7,2226.3,2473.65,2452,-21.65,-21.65,741152,1847854989,3000,863,-21.65,-21.65
Advanced Enzyme Tech Ltd.,ADVENZYMES,Fast Moving Consumer Goods,EQ,266.2,268.7,258.4,266.2,264,-2.2,-2.2,40076,10549606.24,435.95,258.4,-2.2,-2.2
Aegis Logistics Ltd.,AEGISCHEM,Oil Gas & Consumable Fuels,EQ,208.7,212.6,205.15,209,211.45,2.45,2.45,247355,51731824.7,386,167.25,2.45,2.45
Affle (India) Ltd.,AFFLE,Information Technology,EQ,1060,1060.3,1004.65,1060.3,1010,-50.3,-50.3,241660,246983769.8,1511,763.02,-50.3,-50.3
AIA Engineering Ltd.,AIAENG,Capital Goods,EQ,2233.8,2242.45,2170.2,2223.8,2210,-13.8,-13.8,42620,94240491.6,2350,1475.05,-13.8,-13.8
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare,EQ,1233,1275.05,1229.35,1235.6,1265.9,30.3,30.3,109740,137293519.2,2435,1186,30.3,30.3
Alkem Laboratories Ltd.,ALKEM,Healthcare,EQ,2995,3035,2970.95,2998.55,3011.25,12.7,12.7,21837,65524757.31,4070,2828,12.7,12.7
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals,EQ,2525,2609.9,2506.2,2517.65,2552.85,35.2,35.2,26377,67248425.27,4749,2506.2,35.2,35.2
Allcargo Logistics Ltd.,ALLCARGO,Services,EQ,259,271.5,256,262.95,269,6.05,6.05,502907,133391052.7,412,152.5,6.05,6.05
Alok Industries Ltd.,ALOKINDS,Textiles,BE,22.3,22.3,21.5,22,21.55,-0.45,-0.45,1040692,22645457.92,35.8,18.85,-0.45,-0.45
Amara Raja Batteries Ltd.,AMARAJABAT,Automobile and Auto Components,EQ,459.1,471.7,456.05,458.7,469.5,10.8,10.8,438273,202727558.9,781.6,438.05,10.8,10.8
Amber Enterprises India Ltd.,AMBER,Consumer Durables,EQ,2251,2348.2,2251,2246.65,2325,78.35,78.35,85424,197744600.6,4025.95,2040,78.35,78.35
Ambuja Cements Ltd.,AMBUJACEM,Construction Materials,EQ,363.95,368.6,362.1,363,367.5,4.5,4.5,2763265,1011078664,442.5,274,4.5,4.5
Angel One Ltd.,ANGELONE,Financial Services,EQ,1202,1228,1185,1206.2,1216.05,9.85,9.85,414524,499671374.8,2022,839.05,9.85,9.85
Anupam Rasayan India Ltd.,ANURAS,Chemicals,EQ,610,626.2,604.6,610.1,620.7,10.6,10.6,37228,22843845.36,1107.55,546.75,10.6,10.6
APL Apollo Tubes Ltd.,APLAPOLLO,Capital Goods,EQ,843.9,855,836,849.95,845.1,-4.85,-4.85,165325,139906281.3,1114.55,718.08,-4.85,-4.85
Alembic Pharmaceuticals Ltd.,APLLTD,Healthcare,EQ,727.75,731.6,717,728.25,729.9,1.65,1.65,63552,46195948.8,1016.7,678.3,1.65,1.65
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,EQ,3680,3745,3635.2,3683.5,3732,48.5,48.5,316894,1169161399,5935.4,3361.55,48.5,48.5
Apollo Tyres Ltd.,APOLLOTYRE,Automobile and Auto Components,EQ,185.7,190,184.3,185.1,188.9,3.8,3.8,1276512,238682213.8,250,165.25,3.8,3.8
Aptus Value Housing Finance India Ltd.,APTUS,Financial Services,EQ,276.5,294.7,274.3,281.8,293.65,11.85,11.85,449163,128519009.2,394.9,220.1,11.85,11.85
Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components,EQ,536.8,549,530.25,539.6,548,8.4,8.4,261012,140842075.2,612.9,324.65,8.4,8.4
Ashok Leyland Ltd.,ASHOKLEY,Capital Goods,EQ,148,149,144.65,147.8,146.4,-1.4,-1.4,19976245,2920926544,153.5,93.2,-1.4,-1.4
Asian Paints Ltd.,ASIANPAINT,Consumer Durables,EQ,2704.9,2780,2685,2695.2,2769.65,74.45,74.45,1477191,4055317680,3590,2560,74.45,74.45
Aster DM Healthcare Ltd.,ASTERDM,Healthcare,EQ,179.55,179.55,174.3,178,176,-2,-2,92393,16259320.14,237,148.4,-2,-2
Astral Ltd.,ASTRAL,Capital Goods,EQ,1651,1664.95,1639.9,1655.5,1657,1.5,1.5,125312,207061789.4,2524.95,1581.55,1.5,1.5
AstraZenca Pharma India Ltd.,ASTRAZEN,Healthcare,EQ,2700,2727,2664,2705.2,2724,18.8,18.8,4613,12434526.02,3675,2445.7,18.8,18.8
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels,EQ,2392.55,2442.95,2370,2392.9,2389,-3.9,-3.9,436503,1045280639,2740,774.95,-3.9,-3.9
Atul Ltd.,ATUL,Chemicals,EQ,7988.55,8070,7891,8030.8,8012,-18.8,-18.8,10672,85048369.6,10969,7750,-18.8,-18.8
AU Small Finance Bank Ltd.,AUBANK,Financial Services,EQ,586,587.3,563.3,591.7,580,-11.7,-11.7,2741511,1574011126,732.98,462.5,-11.7,-11.7
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,EQ,512.25,524,506.5,513.1,522.75,9.65,9.65,831959,429032936.7,1013,503.45,9.65,9.65
Avanti Feeds Ltd.,AVANTIFEED,Fast Moving Consumer Goods,EQ,432.85,436.5,425,432.85,436,3.15,3.15,142890,61885659,674.85,384.2,3.15,3.15
Axis Bank Ltd.,AXISBANK,Financial Services,EQ,633,646.6,631.8,636.8,644,7.2,7.2,6549359,4191262292,866.9,618.25,7.2,7.2
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components,EQ,3667.95,3678.7,3601.1,3706.6,3621.7,-84.9,-84.9,756589,2746788799,4250,3027.05,-84.9,-84.9
Bajaj Electricals Ltd,BAJAJELEC,Consumer Durables,EQ,1021,1048,1000.2,1023.95,1042,18.05,18.05,326410,335030488.1,1588.95,858.55,18.05,18.05
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services,EQ,10920,11343,10727.2,10931.75,11315,383.25,383.25,408983,4572364503,19325,10727.2,383.25,383.25
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services,EQ,4534.9,4655,4511,4585.2,4570,-15.2,-15.2,59937,275246887,6598,3586,-15.2,-15.2
Bajaj Finance Ltd.,BAJFINANCE,Financial Services,EQ,5364,5633.95,5335.05,5400.5,5617.95,217.45,217.45,1221890,6717694623,8050,5220,217.45,217.45
Balaji Amines Ltd.,BALAMINES,Chemicals,EQ,2860,2897,2831.7,2867.3,2889,21.7,21.7,21727,62488155.62,5223.55,2651,21.7,21.7
Balkrishna Industries Ltd.,BALKRISIND,Automobile and Auto Components,EQ,2125,2179,2109.5,2149.15,2178.85,29.7,29.7,142057,304220747.8,2723.8,1690.55,29.7,29.7
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods,EQ,360,362.5,354.65,359.45,360.7,1.25,1.25,1214196,435192130.3,525.9,297.6,1.25,1.25
Bandhan Bank Ltd.,BANDHANBNK,Financial Services,EQ,262.5,266,259.05,263.5,265,1.5,1.5,5414612,1423501495,349.55,229.55,1.5,1.5
Bank of Baroda,BANKBARODA,Financial Services,EQ,97.6,97.8,95.6,97.4,97.35,-0.05,-0.05,32287305,3114433440,122.7,72.5,-0.05,-0.05
Bank of India,BANKINDIA,Financial Services,EQ,44.2,45,43.9,44.35,44.9,0.55,0.55,1053018,46711878.48,80.75,40.4,0.55,0.55
BASF India Ltd.,BASF,Chemicals,EQ,2727,2759.95,2626.95,2728.55,2720,-8.55,-8.55,19400,52420740,3930,2351,-8.55,-8.55
Bata India Ltd.,BATAINDIA,Consumer Durables,EQ,1665,1706.95,1650,1668.7,1705,36.3,36.3,122583,206081636.3,2262,1550,36.3,36.3
Bayer Cropscience Ltd.,BAYERCROP,Chemicals,EQ,5032.15,5135,4982,5007.15,5105,97.85,97.85,5806,29271761.84,6130,4218.05,97.85,97.85
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods,EQ,891,924,891,903.25,924,20.75,20.75,20192,18467603.2,1353.15,839.9,20.75,20.75
Brightcom Group Ltd.,BCG,Information Technology,EQ,32.9,32.9,32.9,31.35,32.9,1.55,1.55,821102,27014255.8,122.88,10.73,1.55,1.55
Bharat Dynamics Ltd.,BDL,Capital Goods,EQ,677,679.95,660.05,681.25,668,-13.25,-13.25,693286,462442560.6,904.9,356.85,-13.25,-13.25
Bharat Electronics Ltd.,BEL,Capital Goods,EQ,233,235.5,227.25,234.1,229.7,-4.4,-4.4,5108014,1175354021,259.5,162.35,-4.4,-4.4
Berger Paints India Ltd.,BERGEPAINT,Consumer Durables,EQ,570.45,583.95,563.75,568.3,583,14.7,14.7,1316578,757664307.4,872.95,543.6,14.7,14.7
Bharat Forge Ltd.,BHARATFORG,Capital Goods,EQ,645.15,649.35,635,651.8,643,-8.8,-8.8,650298,418492774.9,847.95,595,-8.8,-8.8
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,EQ,684.85,685.8,666,684.95,673,-11.95,-11.95,4488771,3024129910,781.8,514.85,-11.95,-11.95
Bharat Heavy Electricals Ltd.,BHEL,Capital Goods,EQ,44.8,45.8,44.4,44.95,45.65,0.7,0.7,11083459,499420662.5,80.35,41.4,0.7,0.7
Biocon Ltd.,BIOCON,Healthcare,EQ,308.75,312,305,308.4,311.3,2.9,2.9,1136834,351054339.2,414.4,305,2.9,2.9
Birla Corporation Ltd.,BIRLACORPN,Construction Materials,EQ,874.9,877.1,826,870.95,839.9,-31.05,-31.05,120235,101789748.7,1650,823,-31.05,-31.05
Blue Dart Express Ltd.,BLUEDART,Services,EQ,7850,7877,7730.1,7802.15,7765.55,-36.6,-36.6,16566,129401664.5,7880,5306.5,-36.6,-36.6
Blue Star Ltd.,BLUESTARCO,Consumer Durables,EQ,892.1,903.75,885.35,903.75,890.9,-12.85,-12.85,42446,38077882.14,1225,758,-12.85,-12.85
Borosil Renewables Ltd.,BORORENEW,Capital Goods,EQ,603,614.8,595.2,601.7,607.7,6,6,469179,284435077,833.35,261.2,6,6
Bosch Ltd.,BOSCHLTD,Automobile and Auto Components,EQ,15273,15731.2,15201.55,15229.6,15650,420.4,420.4,71619,1114657346,19250,12932.45,420.4,420.4
Bharat Petroleum Corporation Ltd.,BPCL,Oil Gas & Consumable Fuels,EQ,308.5,319.25,305.7,308.4,318.5,10.1,10.1,4416695,1381939699,503,293.35,10.1,10.1
Brigade Enterprises Ltd.,BRIGADE,Realty,EQ,439,447.45,436.05,444.4,443.5,-0.9,-0.9,140806,62332000.08,554.7,268.7,-0.9,-0.9
Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,EQ,3412,3600,3412,3466.4,3575,108.6,108.6,292487,1029595188,4153,3050,108.6,108.6
BSE Ltd.,BSE,Financial Services,EQ,594.95,604.95,586.45,596.9,600.15,3.25,3.25,778640,463088353.6,1046.67,296.33,3.25,3.25
Birlasoft Ltd.,BSOFT,Information Technology,EQ,353.7,357.1,343.55,353.25,352.1,-1.15,-1.15,1752456,612360700.1,585.85,316.45,-1.15,-1.15
Computer Age Management Services Ltd.,CAMS,Financial Services,EQ,2258.8,2258.8,2207,2257.75,2230,-27.75,-27.75,57998,129291461.5,4067.4,2037.15,-27.75,-27.75
Canara Bank,CANBK,Financial Services,EQ,181.65,185.7,178.45,181.25,185.5,4.25,4.25,5768579,1048958405,272.8,142.1,4.25,4.25
Can Fin Homes Ltd.,CANFINHOME,Financial Services,EQ,427.85,443.4,424.7,426.35,441.45,15.1,15.1,663285,290260148.9,722,406.65,15.1,15.1
Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare,EQ,704,714.15,704,710.4,711.25,0.85,0.85,26432,18764605.44,1034.8,626,0.85,0.85
Carborundum Universal Ltd.,CARBORUNIV,Capital Goods,EQ,715,721.55,698.35,716.9,710,-6.9,-6.9,117136,82768297.6,1035,590.55,-6.9,-6.9
Castrol India Ltd.,CASTROLIND,Oil Gas & Consumable Fuels,EQ,103.3,104.15,102.75,103.3,104,0.7,0.7,228227,23644317.2,150,99.05,0.7,0.7
CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods,EQ,380,385.15,375.25,383.45,382.3,-1.15,-1.15,132875,50844618.75,514.95,310,-1.15,-1.15
Central Depository Services (India) Ltd.,CDSL,Financial Services,EQ,1111.4,1117.7,1096,1114.4,1105,-9.4,-9.4,208635,230664769.7,1734.4,974,-9.4,-9.4
Ceat Ltd.,CEATLTD,Automobile and Auto Components,EQ,933,949,917.75,929.2,935.55,6.35,6.35,29484,27602036.28,1477.75,890,6.35,6.35
Central Bank of India,CENTRALBK,Financial Services,EQ,16.9,17,16.25,16.9,16.8,-0.1,-0.1,891053,14978600.93,29.65,16.25,-0.1,-0.1
Century Plyboards (India) Ltd.,CENTURYPLY,Consumer Durables,EQ,526,526.35,511.05,525.7,512.1,-13.6,-13.6,35943,18514598.73,749,341.8,-13.6,-13.6
Century Textile & Industries Ltd.,CENTURYTEX,Forest Materials,EQ,808,817.95,797,805.7,806.5,0.8,0.8,156605,126723200,1024,607.7,0.8,0.8
Cera Sanitaryware Ltd,CERA,Consumer Durables,EQ,4141.7,4160,4085.9,4132.75,4111.25,-21.5,-21.5,2801,11566421.39,6450,3515,-21.5,-21.5
CESC Ltd.,CESC,Power,EQ,70.95,71.9,70.5,71.2,70.75,-0.45,-0.45,565200,40174416,102.45,7.23,-0.45,-0.45
Capri Global Capital Ltd.,CGCL,Financial Services,EQ,685.55,689.15,681.05,687.4,681.15,-6.25,-6.25,16875,11555156.25,805,436.85,-6.25,-6.25
CG Power and Industrial Solutions Ltd.,CGPOWER,Capital Goods,EQ,192,196.25,188.6,191.65,189.65,-2,-2,928649,178430618.9,219.65,71.7,-2,-2
Chalet Hotels Ltd.,CHALET,Consumer Services,EQ,314.8,331.8,310.05,314.65,327.15,12.5,12.5,866335,280848480.3,332.7,159.05,12.5,12.5
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals,EQ,267.7,272.4,260.8,266.15,271.3,5.15,5.15,1548368,412593621,516,260.8,5.15,5.15
Chemplast Sanmar Ltd.,CHEMPLASTS,Chemicals,EQ,469.8,479,460.8,470.15,476.25,6.1,6.1,98313,46324102.47,826,382.7,6.1,6.1
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Financial Services,EQ,616.2,643.15,616.05,619.5,637.95,18.45,18.45,1694794,1067737168,768,469.25,18.45,18.45
